"","Var1","Freq","categ","regio","logfreq"
"165","South Yemen",2,"3","10",1.09861228866811
"166","Soviet Union",77,"2","9",4.35670882668959
"167","Spain",2967,"1","8",7.99564360428727
"168","Sri Lanka",2895,"2","6",7.97108575350561
"169","St. Kitts and Nevis",2,"2","2",1.09861228866811
"170","St. Lucia",1,"2","2",0.693147180559945
"171","Sudan",737,"3","11",6.60394382460047
"172","Suriname",66,"2","3",4.20469261939097
"173","Swaziland",15,"3","11",2.77258872223978
"174","Sweden",128,"1","8",4.85981240436167
"175","Switzerland",100,"1","8",4.61512051684126
"176","Syria",1608,"3","10",7.38336814699238
"177","Taiwan",49,"1","4",3.91202300542815
"178","Tajikistan",186,"3","7",5.23110861685459
"179","Tanzania",55,"3","11",4.02535169073515
"180","Thailand",3808,"2","5",8.2451219664786
"181","Togo",48,"3","11",3.89182029811063
"182","Trinidad and Tobago",21,"2","2",3.09104245335832
"183","Tunisia",106,"3","10",4.67282883446191
"184","Turkey",4133,"3","10",8.32700074024171
"185","Turkmenistan",2,"3","7",1.09861228866811
"186","Uganda",346,"3","11",5.84932477994686
"187","Ukraine",1580,"2","9",7.36581283720947
"188","United Arab Emirates",20,"3","10",3.04452243772342
"189","United Kingdom",3521,"1","8",8.16678428905615
"190","United States",2743,"1","1",7.91717198884578
"191","Uruguay",78,"2","3",4.36944785246702
"192","Uzbekistan",21,"3","7",3.09104245335832
"193","Vanuatu",2,"1","12",1.09861228866811
"194","Vatican City",1,"1","8",0.693147180559945
"195","Venezuela",276,"2","3",5.62401750618734
"196","Vietnam",12,"2","5",2.56494935746154
"197","Wallis and Futuna",1,"1","12",0.693147180559945
"198","West Bank and Gaza Strip",2129,"3","10",7.66387725870347
"199","West Germany (FRG)",444,"1","8",6.09807428216624
"200","Western Sahara",4,"3","10",1.6094379124341
"201","Yemen",2935,"3","10",7.98480338973441
"202","Yugoslavia",193,"2","9",5.26785815906333
"203","Zaire",48,"3","11",3.89182029811063
"204","Zambia",60,"3","11",4.11087386417331
"205","Zimbabwe",94,"3","11",4.55387689160054
